name,address,tel,comment1,comment2
美楽温泉 SPA-HERBS（スパハーブス）,埼玉県さいたま市北区植竹町1-816-8,048-669-6626,何処の温泉場に行っても　ここより充実している施設はないと思います毎日出かけています　のんびりほっこりしています,食事がとても美味しい。メニュー表に載っている絵よりも遥かに多い量が出てくる。トイレも綺麗で使いやすい。岩盤浴も使用しやすい。接客がとても丁寧で再度利用したいと思える。
横浜天然温泉SPA EAS（スパ イアス）,神奈川県横浜市西区北幸2-2-1 ハマボールイアス内 4階～7階,045-290-2080,ミッキー山下氏のロウリュイベントにて伺いました。今回もかなりの濃い内容で満足です。プロの技を見れました。,
横濱スパヒルズ 竜泉寺の湯（旧：日帰り天然温泉 竜泉寺の湯　横濱鶴ヶ峰店）,神奈川県横浜市旭区白根8-8,045-459-5268,駅から遠いw館内広い！お風呂色々！岩盤浴砂利も！耳マッサージで寝たw行きは車、帰りは送迎バス,露天風呂も広々に使えて，岩盤浴大好きです。時間あるときは1日のんびり過ごしてます。いつも食事をしてから帰ります。久しぶりに黒酢酢豚頼んだんですけど、肉が硬いです。肉変わったでしょうか。2ヶ月前ほど食べたときにはおいしかったです。本日のは残念でした。
湘南RESORT SPA 竜泉寺の湯,神奈川県茅ヶ崎市中島1339-1,0467-57-2641,ビールとあげもちべえが合います！,食事どころが、リニューアルして、何食べても美味しいです毎回何食べるか楽しみです床暖房も入っていて、暖かいです
竜泉寺の湯 草加谷塚店,埼玉県草加市谷塚上町476,048-926-1126,岩盤浴の施設が充実していて身体をリフレッシュ出来るのでいつも利用しています,のんびりリフレッシュ出来ましたお蕎麦好きの私は、選べる小鉢の中に蕎麦もあれば良いのになぁと毎回思っています
熊谷天然温泉 花湯スパリゾート,埼玉県熊谷市上之1005,048-501-1126,ほんとびっくりします！広い日本庭園に天然温泉があちらこちらここは1度入った方が良いですよ！皆さんびっくりしますよ。初めての人はみんなすごい！すごい！って言ってます。岩盤浴もたくさんあって女性用の岩盤の所が私はお気に入り。 休憩スペースもたくさんで漫画もたくさんあります。お庭にはヤギが子ヤギも含め5匹位いてものすごく癒されます。食事もカレーがメガ盛りでびっくりしました！美味しかったです！他の温泉宿さんに この充実した温泉はなかなか真似出来ないですよ。星5つ！これ以上混んでほしくないなぁ。。。笑,今まで行ったスーパー銭湯の中で1番です。ゆっくりしたい時には平日1650円で、お風呂、岩盤浴、リラックススペースなどすべてのエリアが利用可能です。何より広い！お風呂よし！食べ物美味しい！綺麗！
杉戸天然温泉 雅楽の湯（うたのゆ）,埼玉県北葛飾郡杉戸町杉戸2517,0480-53-4126,ここに長年通ってる俺が教えてあげるよ。まず岩盤浴入りたいなら開店か19時過ぎが良いよ。岩盤浴昼間に満床になるとあそこは長居する客いるからまず満床解除にならんね。あと夜20時過ぎると混むから炭酸泉、つぼ湯は混むよ。つぼ湯は長風呂する客多いからね。岩盤浴は20時過ぎは空いてるよ。炭酸泉は朝イチ行くと炭酸強くて気持ちいいのよ。けどここ夏来るとつぼ湯昼間熱湯になってるからね。w,以前から気になっていた施設。休みが取れたので訪問しました。最寄りの東武動物公園駅から送迎バスが出てましたが開店と同時の入店を目指して駅から徒歩で向かう事にしました。徒歩で約20分ぐらいだったので入浴前の軽い運動になりました。9時45分頃に到着するとすでに20人程が並んでいました。(この日は埼玉県民の日で子供連れが多かったようです。)開店後、店内カウンターで入浴と岩盤浴の利用を申告。昼食はビュッフェと決めていたのですぐに予約に向かう。残念ながらビュッフェは利用時間の予約ができず整理券発行のシステムでした。(携帯にお知らせが届くオプションがあったので使用する。)ビュッフェオープンの11時30分迄は源泉かけ流しのお風呂を堪能。待合室スペースで待っていると携帯に自動案内のお知らせが届いたので食事に向かう。整理券は7番だったので11時30のオープン直後に入れましたが、ビュッフェ前スペースは発券済みの人でごった返しの状態でした。(ビュッフェは入店後すぐに整理券を発行がオススメです。)食事は90分制のビュッフェスタイル。種類も豊富でとても美味しく満足でした。特に炊き込みご飯(おこわ)と茶碗蒸しが美味しかったです。昼食後は施設のくつろぎスペースを使用しましたがスペースがなく混雑していたので、岩盤浴エリアに移動。岩盤浴は50度と80度の2部屋あり、50度の部屋は入り口から左側が女性エリア、右側が男性の案内があリました。80度は仕切り無しでした。岩盤浴エリアも同様にくつろぎスペースが狭かったです。お風呂と食事はとても良かったのですが、1日ゆったりする私の使い方だと、施設内のくつろぎスペースが他の施設と比べると漫画・雑誌と仮眠スペース、TV付きのソファが無いなどの点が残念でした。岩盤浴が別料金なのでお風呂と食事を楽しむ使い方に向いていると思います。
有馬温泉 太閤の湯,兵庫県神戸市北区有馬町池の尻292-2,078-904-2291,平日の有給休暇取れた時に利用しています。朝イチにいくと空いていることが多く、露天風呂や炭酸泉もゆっくり入れます。朝イチに行ってお風呂に入った後フードコートでご飯を食べて、休憩どころでゆったりしてもう一度お風呂に入ってから帰ってます。泊まると高い有馬温泉がお手軽に楽しめるので有り難いです。混み始める前に帰れるのでこの過ごしたが気に入っています,シャワーヘッドがリファになっていて、嬉しい💕友達と朝からゆっくり温泉につかり、無料の岩盤浴もあり、1日楽しめます。色んなお風呂があるのも嬉しいです。露天風呂も広くて最高🩷
横浜みなとみらい 万葉倶楽部,神奈川県横浜市中区新港2-7-1,0570-07-4126,立地最高で景色眺め良いです。もう20年近く行っていますがフロントのスタッフさんはとても愛想良く気持ちが良いです。飲食スペースのスタッフさんは分からないことが多いのかクーポン券の使い方を聞いてもタライ回しにされます…。床も何か落ちてて足の裏にペタっとなる時もあります。お風呂は良くも悪くも出来た当初と変わらずですが洗い場も広くてオススメです。無料で浴場内のアロマサウナ(女湯のみ？)に塩が置いてありセルフマッサージもできます。洗い場には柔らかめと固めのボディータオルが置いてあります。脱衣所には大量のタオルが積み重なっていて使い放題、濡れ物入れのビニール袋も置いてあり親切です。色々な浴場施設に行きますが土地柄なのか子供が少なく落ち着いてゆっくり入れるのも好きです。,いつも気持ちも体もリセットさせに行っています。のんびりとても良い時間を過ごしています。一つお願いがあります…できたら、現在の混雑状況を表示するやつをこまめに更新してもらえたら良いのですが、平日でも日帰りで行ったりするので結構参考にするので。
両国湯屋江戸遊,東京都墨田区亀沢1-5-8,03-3621-2611,平日に1人で利用しました。館内は空いていて静かでゆっくりと過ごすことができました。料金は岩盤浴、岩盤浴着、タオル大小、館内着を含んでいるのでお手頃ではないが納得の料金だと思う。残念だったのは温かい飲み物。冷水機はあるがお茶のサービスはない。鍵で支払える自販機にも温かい飲み物はなく、3階に現金払いのみのマシーンがあったが現金は4階のロッカーに入れていたので諦めました。冷水機と一緒に温かい飲み物もあると助かります。タオルの貸し出しはフリーになるともっといいと思う。駅近で手ぶらOKなので利用しやすくとてもいいと思う。,中学生以上限定の銭湯なので大人ばかりで静かに落ち着いて入れるのですごく安心できます。お値段安めのとこはお喋りやマナーの悪い入浴客と遭遇しやすいため、ここに久しぶりに訪れたのですがあまりの静かさに感動してVIP待遇を受けてるように感じてしまいました。あとコーヒー牛乳が雪印なのも嬉しい。値段高めのとこは雪印率が高い気がします。サウナと岩盤浴の温度はそれ程高くなく初心者におすすめだと思います。
